ProviderName,PID,ProviderPracticeAddress1,ProviderPracticeAddress2,ProviderPracticeCity,ProviderPracticeStateCode,ProviderPracticeZipCode,County
Accel at College Station,6,1500 MEDICAL AVE,,COLLEGE STATION,TX,77845,
Accel at Willow Bend,8,2620 COMMUNICATIONS PKWY,,PLANO,TX,75093,Collin
Adora Midtown Park,9,8130 MEADOW RD,,DALLAS,TX,75231,
Advance Healthcare Solutions,10,4863 KEMP BLVD,,WICHITA FALLS,TX,76308,Wichita
Advanced Health and Rehabilitation Center of Garland,11,1201 COLONEL DR,,GARLAND,TX,75043,Dallas
Advanced Rehab and Healthcare of Athens,13,121 COMMONS DR,,ATHENS,TX,75751,Henderson
Advanced Rehab of Wichita Falls,14,4810 KEMP BLVD,,WICHITA FALLS,TX,76308,Wichita
Advanced Rehabilitation and Healthcare of Bowie,15,700 W US HIGHWAY 287 S,,BOWIE,TX,76230,Montague
Adventhealth Care Center Burleson,17,301 HUGULEY BLVD,,BURLESON,TX,76028,Johnson
Afton Oaks Healthcare And Rehabilitation Center,18,7514 KINGSLEY ST,,HOUSTON,TX,77087,Harris
Alameda Oaks Nursing Center,19,1101 S ALAMEDA ST,,CORPUS CHRISTI,TX,78404,Nueces
Alamo Heights Health and Rehabilitation Center,20,8223 BROADWAY ST,,SAN ANTONIO,TX,78209,Bexar
Alfredo Gonzalez Texas State Veterans Home,21,301 E YUMA AVE,,MCALLEN,TX,78503,Hidalgo
ALLEGIANT WELLNESS AND REHAB,22,724 W RENDON CROWLEY RD,,FORT WORTH,TX,76036,
Alpine Terrace,23,746 ALPINE DR,,KERRVILLE,TX,78028,Kerr
Alta Vista Rehabilitation and Healthcare,25,510 PAREDES LINE RD,,BROWNSVILLE,TX,78521,Cameron
Alvarado Meadows Nursing and Rehabilitation Center,27,101 N PARKWAY DR,,ALVARADO,TX,76009,Johnson
Amarillo Center for Skilled Care,28,6641 W AMARILLO BLVD,,AMARILLO,TX,79106,Potter
Ambrosio Guillen Texas State Veterans Home,29,9650 KENWORTHY ST,,EL PASO,TX,79924,El Paso
"Amistad Nursing Home and Rehabilitation Center, LLC",31,200 RIVERSIDE DR,,UVALDE,TX,78801,Uvalde
Anderson Nursing Center,33,520 BRADBURN RD,,GRAND SALINE,TX,75140,Van Zandt
Anson General Hospital,35,101 AVENUE J,,ANSON,TX,79501,Jones
