PID,M1_CT1,M2_CT1,M3_CT1,M4_CT1,M5_CT1,M6_CT1,M7_CT1,M8_CT1,M9_CT1,M10_CT1,M11_CT1,M12_CT1,M1_CT2,M2_CT2,M3_CT2,M4_CT2,M5_CT2,M6_CT2,M7_CT2,M8_CT2,M9_CT2,M10_CT2,M11_CT2,M12_CT2
6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,7.0,5.0,4.0,3.0,3.0,5.0,6.0,5.0,3.0,11.0
8,1.0,3.0,5.0,6.0,8.0,4.0,5.0,2.0,1.0,4.0,4.0,6.0,19.0,9.0,9.0,6.0,8.0,13.0,10.0,6.0,5.0,2.0,0.0,1.0
9,7.0,6.0,9.0,6.0,11.0,7.0,9.0,5.0,9.0,6.0,9.0,6.0,3.0,4.0,6.0,6.0,0.0,4.0,3.0,2.0,1.0,0.0,1.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,4.0,5.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
12,2.0,0.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,4.0,1.0,1.0,0.0,1.0
13,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,1.0,4.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,4.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,9.0,5.0,4.0,9.0,4.0,5.0,1.0,2.0,4.0,3.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,4.0,4.0,1.0,3.0,6.0,5.0,3.0,4.0
17,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,10.0,9.0,7.0,2.0,4.0,11.0,7.0,9.0,4.0,6.0,3.0,3.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,6.0,6.0,5.0,6.0,4.0,5.0,2.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,5.0,2.0,1.0,4.0,3.0,3.0,1.0,3.0,5.0
20,1.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,5.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,3.0,1.0,1.0,2.0
21,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
22,7.0,7.0,8.0,8.0,9.0,10.0,11.0,12.0,11.0,10.0,11.0,10.0,2.0,0.0,1.0,1.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0
23,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
25,4.0,5.0,12.0,7.0,8.0,3.0,2.0,5.0,2.0,4.0,9.0,8.0,4.0,4.0,8.0,2.0,2.0,1.0,3.0,5.0,3.0,5.0,4.0,5.0
