PID,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,ProviderName,ProviderPracticeAddress1,ProviderPracticeAddress2,ProviderPracticeCity,ProviderPracticeStateCode,ProviderPracticeZipCode,County,zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
6,11,5,7,6,4,3,3,5,6,5,3,11,Accel at College Station,1500 MEDICAL AVE,,COLLEGE STATION,TX,77845,,77845.0,30.56255,-96.27564,College Station,TX,Texas,True,,63078.0,128.0,48041.0,Brazos,{'48041':100},Brazos,48041,False,False,America/Chicago
8,20,12,14,12,16,17,15,8,6,6,4,7,Accel at Willow Bend,2620 COMMUNICATIONS PKWY,,PLANO,TX,75093,Collin,75093.0,33.0355,-96.81001,Plano,TX,Texas,True,,47411.0,1291.2,48085.0,Collin,"{'48085':93.14,'48121':6.86}",Collin|Denton,48085|48121,False,False,America/Chicago
9,10,10,15,12,11,11,12,7,10,6,10,6,Adora Midtown Park,8130 MEADOW RD,,DALLAS,TX,75231,,75231.0,32.87767,-96.74979,Dallas,TX,Texas,True,,41072.0,2537.8,48113.0,Dallas,{'48113':100},Dallas,48113,False,False,America/Chicago
10,2,0,1,0,1,0,0,0,0,0,0,0,Advance Healthcare Solutions,4863 KEMP BLVD,,WICHITA FALLS,TX,76308,Wichita,76308.0,33.85238,-98.54057,Wichita Falls,TX,Texas,True,,19092.0,850.8,48485.0,Wichita,"{'48009':5.69,'48485':94.31}",Wichita|Archer,48485|48009,False,False,America/Chicago
11,4,6,5,6,3,4,1,1,0,0,0,0,Advanced Health and Rehabilitation Center of Garland,1201 COLONEL DR,,GARLAND,TX,75043,Dallas,75043.0,32.85707,-96.57941,Garland,TX,Texas,True,,61440.0,1541.0,48113.0,Dallas,{'48113':100},Dallas,48113,False,False,America/Chicago
12,3,3,5,4,3,2,3,4,1,1,2,2,Advanced Rehab and Healthcare,8221 PALISADES DR,,LIVE OAK,TX,78233,Bexar,78233.0,29.55554,-98.36174,San Antonio,TX,Texas,True,,48507.0,1284.1,48029.0,Bexar,{'48029':100},Bexar,48029,False,False,America/Chicago
13,4,7,1,4,1,2,2,2,0,1,0,4,Advanced Rehab and Healthcare of Athens,121 COMMONS DR,,ATHENS,TX,75751,Henderson,75751.0,32.09642,-95.9083,Athens,TX,Texas,True,,16855.0,41.4,48213.0,Henderson,"{'48001':1.53,'48213':98.47}",Henderson|Anderson,48213|48001,False,False,America/Chicago
14,3,8,9,5,4,9,4,5,1,2,4,3,Advanced Rehab of Wichita Falls,4810 KEMP BLVD,,WICHITA FALLS,TX,76308,Wichita,76308.0,33.85238,-98.54057,Wichita Falls,TX,Texas,True,,19092.0,850.8,48485.0,Wichita,"{'48009':5.69,'48485':94.31}",Wichita|Archer,48485|48009,False,False,America/Chicago
15,1,1,3,3,4,4,1,3,6,5,3,4,Advanced Rehabilitation and Healthcare of Bowie,700 W US HIGHWAY 287 S,,BOWIE,TX,76230,Montague,76230.0,33.51993,-97.95469,Bowie,TX,Texas,True,,9762.0,9.9,48337.0,Montague,"{'48077':1.46,'48237':2.62,'48337':95.92}",Montague|Jack|Clay,48337|48237|48077,False,False,America/Chicago
16,0,0,0,0,0,0,1,1,1,1,0,0,ADVANCED REHABILITATION AND HEALTHCARE OF LIVE OAK,8221 PALISADES DR,,LIVE OAK,TX,78233,,78233.0,29.55554,-98.36174,San Antonio,TX,Texas,True,,48507.0,1284.1,48029.0,Bexar,{'48029':100},Bexar,48029,False,False,America/Chicago
17,14,14,12,7,8,15,11,13,7,10,6,7,Adventhealth Care Center Burleson,301 HUGULEY BLVD,,BURLESON,TX,76028,Johnson,76028.0,32.52605,-97.30317,Burleson,TX,Texas,True,,69413.0,299.1,48251.0,Johnson,"{'48251':70.93,'48439':29.07}",Johnson|Tarrant,48251|48439,False,False,America/Chicago
18,1,0,3,3,6,6,5,6,4,5,2,0,Afton Oaks Healthcare And Rehabilitation Center,7514 KINGSLEY ST,,HOUSTON,TX,77087,Harris,77087.0,29.686120000000006,-95.30343,Houston,TX,Texas,True,,36869.0,2113.2,48201.0,Harris,{'48201':100},Harris,48201,False,False,America/Chicago
19,2,3,1,5,2,1,4,3,3,1,3,5,Alameda Oaks Nursing Center,1101 S ALAMEDA ST,,CORPUS CHRISTI,TX,78404,Nueces,78404.0,27.76805,-97.39899,Corpus Christi,TX,Texas,True,,18376.0,2142.0,48355.0,Nueces,{'48355':100},Nueces,48355,False,False,America/Chicago
20,2,1,1,3,2,3,4,0,4,6,1,3,Alamo Heights Health and Rehabilitation Center,8223 BROADWAY ST,,SAN ANTONIO,TX,78209,Bexar,78209.0,29.48906,-98.45671,San Antonio,TX,Texas,True,,42045.0,1485.7,48029.0,Bexar,{'48029':100},Bexar,48029,False,False,America/Chicago
21,0,1,0,1,0,0,0,2,1,0,1,0,Alfredo Gonzalez Texas State Veterans Home,301 E YUMA AVE,,MCALLEN,TX,78503,Hidalgo,78503.0,26.16531,-98.24764,Mcallen,TX,Texas,True,,22034.0,494.1,48215.0,Hidalgo,{'48215':100},Hidalgo,48215,False,False,America/Chicago
22,9,7,9,9,12,12,12,14,11,10,11,10,ALLEGIANT WELLNESS AND REHAB,724 W RENDON CROWLEY RD,,FORT WORTH,TX,76036,,76036.0,32.577020000000005,-97.41283,Crowley,TX,Texas,True,,25597.0,187.6,48439.0,Tarrant,"{'48251':11.95,'48439':88.05}",Tarrant|Johnson,48439|48251,False,False,America/Chicago
23,4,4,2,2,1,4,1,2,1,2,1,2,Alpine Terrace,746 ALPINE DR,,KERRVILLE,TX,78028,Kerr,78028.0,30.03422,-99.15819,Kerrville,TX,Texas,True,,40447.0,57.9,48265.0,Kerr,"{'48171':1.96,'48265':98.04}",Kerr|Gillespie,48265|48171,False,False,America/Chicago
25,8,9,20,9,10,4,5,10,5,9,13,13,Alta Vista Rehabilitation and Healthcare,510 PAREDES LINE RD,,BROWNSVILLE,TX,78521,Cameron,78521.0,25.95038,-97.32167,Brownsville,TX,Texas,True,,92108.0,389.0,48061.0,Cameron,{'48061':100},Cameron,48061,False,False,America/Chicago
27,1,0,1,0,2,0,1,1,1,0,1,0,Alvarado Meadows Nursing and Rehabilitation Center,101 N PARKWAY DR,,ALVARADO,TX,76009,Johnson,76009.0,32.41579,-97.20169,Alvarado,TX,Texas,True,,21041.0,77.6,48251.0,Johnson,{'48251':100},Johnson,48251,False,False,America/Chicago
28,7,4,7,7,3,0,5,5,3,8,0,3,Amarillo Center for Skilled Care,6641 W AMARILLO BLVD,,AMARILLO,TX,79106,Potter,79106.0,35.20318,-101.89519,Amarillo,TX,Texas,True,,27015.0,1152.4,48375.0,Potter,"{'48375':87.85,'48381':12.15}",Potter|Randall,48375|48381,False,False,America/Chicago
29,0,0,0,1,2,1,1,2,1,1,1,1,Ambrosio Guillen Texas State Veterans Home,9650 KENWORTHY ST,,EL PASO,TX,79924,El Paso,79924.0,31.90245,-106.41325,El Paso,TX,Texas,True,,59729.0,1862.7,48141.0,El Paso,{'48141':100},El Paso,48141,False,False,America/Denver
31,5,7,5,8,3,4,0,2,2,3,9,6,"Amistad Nursing Home and Rehabilitation Center, LLC",200 RIVERSIDE DR,,UVALDE,TX,78801,Uvalde,78801.0,29.35664,-99.87147,Uvalde,TX,Texas,True,,22647.0,10.3,48463.0,Uvalde,{'48463':100},Uvalde,48463,False,False,America/Chicago
33,1,1,1,2,0,1,0,0,0,0,0,1,Anderson Nursing Center,520 BRADBURN RD,,GRAND SALINE,TX,75140,Van Zandt,75140.0,32.64689,-95.69144,Grand Saline,TX,Texas,True,,7290.0,23.9,48467.0,Van Zandt,{'48467':100},Van Zandt,48467,False,False,America/Chicago
35,0,0,0,0,0,3,1,0,0,0,0,0,Anson General Hospital,101 AVENUE J,,ANSON,TX,79501,Jones,79501.0,32.74484,-99.90508,Anson,TX,Texas,True,,2710.0,6.8,48253.0,Jones,{'48253':100},Jones,48253,False,False,America/Chicago
37,0,0,0,0,1,0,0,0,0,0,1,0,Apex Secure Care Brownfield,1101 E LAKE ST,,BROWNFIELD,TX,79316,Terry,79316.0,33.14437,-102.31614,Brownfield,TX,Texas,True,,11333.0,9.5,48445.0,Terry,{'48445':100},Terry,48445,False,False,America/Chicago
38,0,0,0,0,0,0,0,2,1,0,0,0,Arbor Grace Of Kilgore,2700 S HENDERSON BLVD,,KILGORE,TX,75662,Gregg,75662.0,32.383990000000004,-94.87015,Kilgore,TX,Texas,True,,25702.0,74.3,48183.0,Gregg,"{'48183':72.11,'48401':26.09,'48423':1.79}",Gregg|Rusk|Smith,48183|48401|48423,False,False,America/Chicago
