PID,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,ProviderName,lat,lng,county_name
6,11,5,7,6,4,3,3,5,6,5,3,11,Accel at College Station,30.56255,-96.27564,Brazos
8,20,12,14,12,16,17,15,8,6,6,4,7,Accel at Willow Bend,33.0355,-96.81001,Collin
9,10,10,15,12,11,11,12,7,10,6,10,6,Adora Midtown Park,32.87767,-96.74979,Dallas
10,2,0,1,0,1,0,0,0,0,0,0,0,Advance Healthcare Solutions,33.85238,-98.54057,Wichita
11,4,6,5,6,3,4,1,1,0,0,0,0,Advanced Health and Rehabilitation Center of Garland,32.85707,-96.57941,Dallas
12,3,3,5,4,3,2,3,4,1,1,2,2,Advanced Rehab and Healthcare,29.55554,-98.36174,Bexar
13,4,7,1,4,1,2,2,2,0,1,0,4,Advanced Rehab and Healthcare of Athens,32.09642,-95.9083,Henderson
14,3,8,9,5,4,9,4,5,1,2,4,3,Advanced Rehab of Wichita Falls,33.85238,-98.54057,Wichita
15,1,1,3,3,4,4,1,3,6,5,3,4,Advanced Rehabilitation and Healthcare of Bowie,33.51993,-97.95469,Montague
16,0,0,0,0,0,0,1,1,1,1,0,0,ADVANCED REHABILITATION AND HEALTHCARE OF LIVE OAK,29.55554,-98.36174,Bexar
17,14,14,12,7,8,15,11,13,7,10,6,7,Adventhealth Care Center Burleson,32.52605,-97.30317,Johnson
18,1,0,3,3,6,6,5,6,4,5,2,0,Afton Oaks Healthcare And Rehabilitation Center,29.686120000000006,-95.30343,Harris
19,2,3,1,5,2,1,4,3,3,1,3,5,Alameda Oaks Nursing Center,27.76805,-97.39899,Nueces
20,2,1,1,3,2,3,4,0,4,6,1,3,Alamo Heights Health and Rehabilitation Center,29.48906,-98.45671,Bexar
21,0,1,0,1,0,0,0,2,1,0,1,0,Alfredo Gonzalez Texas State Veterans Home,26.16531,-98.24764,Hidalgo
22,9,7,9,9,12,12,12,14,11,10,11,10,ALLEGIANT WELLNESS AND REHAB,32.577020000000005,-97.41283,Tarrant
23,4,4,2,2,1,4,1,2,1,2,1,2,Alpine Terrace,30.03422,-99.15819,Kerr
25,8,9,20,9,10,4,5,10,5,9,13,13,Alta Vista Rehabilitation and Healthcare,25.95038,-97.32167,Cameron
27,1,0,1,0,2,0,1,1,1,0,1,0,Alvarado Meadows Nursing and Rehabilitation Center,32.41579,-97.20169,Johnson
28,7,4,7,7,3,0,5,5,3,8,0,3,Amarillo Center for Skilled Care,35.20318,-101.89519,Potter
29,0,0,0,1,2,1,1,2,1,1,1,1,Ambrosio Guillen Texas State Veterans Home,31.90245,-106.41325,El Paso
31,5,7,5,8,3,4,0,2,2,3,9,6,"Amistad Nursing Home and Rehabilitation Center, LLC",29.35664,-99.87147,Uvalde
33,1,1,1,2,0,1,0,0,0,0,0,1,Anderson Nursing Center,32.64689,-95.69144,Van Zandt
35,0,0,0,0,0,3,1,0,0,0,0,0,Anson General Hospital,32.74484,-99.90508,Jones
37,0,0,0,0,1,0,0,0,0,0,1,0,Apex Secure Care Brownfield,33.14437,-102.31614,Terry
38,0,0,0,0,0,0,0,2,1,0,0,0,Arbor Grace Of Kilgore,32.383990000000004,-94.87015,Gregg
41,1,0,0,0,0,0,0,1,1,0,0,4,Arbor Grace Wellness Center,33.88987,-102.33544,Lamb
42,1,0,1,1,1,2,1,3,1,1,2,2,Arbor Terrace Healthcare Center,31.484820000000006,-100.43723,Tom Green
43,2,1,1,0,1,0,0,0,0,0,0,1,Arboretum Nursing and Rehabilitation Center of Winnie,29.81687,-94.41658,Chambers
45,15,10,10,12,13,14,10,11,6,5,4,5,Arbrook Plaza,32.69202,-97.08794,Tarrant
46,0,0,0,0,0,0,0,0,0,0,0,1,Archer City Nursing Center,33.568909999999995,-98.67458,Archer
47,1,1,1,1,5,2,2,2,1,2,1,1,Arlington Heights Health and Rehabilitation Center,32.74171,-97.38196,Tarrant
48,0,0,0,0,2,0,1,2,3,2,1,1,Arlington Residence and Rehabilitation Center,32.75425,-97.08254,Tarrant
49,7,5,4,7,2,6,3,5,1,2,1,2,Arlington Villa Nursing Retirement Center,32.75461,-97.13902,Tarrant
50,0,0,0,0,2,2,1,0,0,2,0,0,Army Residence Community Health Care Center,29.5168,-98.363,Bexar
52,5,3,4,1,5,3,4,4,7,6,6,3,Ashford Gardens,29.85962,-95.38351,Harris
53,0,0,1,0,2,0,0,0,0,0,0,1,Ashford Hall,32.82602,-96.96544,Dallas
54,4,4,7,2,2,4,4,6,2,3,5,5,Ashton Medical Lodge,31.97945,-102.13231,Midland
55,5,4,4,4,3,2,2,2,2,2,1,0,Ashton Park Care Center,29.39941,-94.99751,Galveston
56,0,0,0,0,2,1,1,1,0,0,0,0,Athens Healthcare and Rehabilitation,32.09642,-95.9083,Henderson
59,4,2,1,0,1,1,0,1,1,0,0,0,Austin Healthcare And Rehabilitation,30.30427,-97.6857,Travis
60,3,1,2,0,3,0,3,1,3,2,2,0,Austin Retirement and Nursing Center,30.35158,-97.73252,Travis
61,6,4,4,2,2,2,2,2,4,1,3,1,AUSTIN WELLNESS AND REHABILITATION,30.41828,-97.80246,Travis
64,0,2,4,4,5,8,4,3,2,0,3,2,Autumn Leaves,32.84154,-96.70236,Dallas
65,1,1,1,5,3,5,2,1,1,5,2,1,Autumn Leaves Nursing and Rehabilitation,32.229890000000005,-94.73272,Rusk
66,0,0,0,1,0,0,0,0,0,0,0,0,Autumn Winds,29.54622,-98.26628,Guadalupe
67,1,0,1,1,0,0,2,1,1,0,2,1,Avalon Place Kirbyville,30.67771,-93.97824,Jasper
68,2,1,4,3,1,3,11,5,1,4,4,1,Avalon Place Trinity,30.959840000000003,-95.32384,Trinity
69,0,1,2,4,1,3,3,1,3,0,2,0,Avalon Place Wharton,29.30682,-96.09125,Wharton
70,1,0,0,1,2,1,3,0,0,0,0,0,Avante Rehabilitation and Care Center,32.82602,-96.96544,Dallas
72,1,1,0,5,3,3,3,4,0,1,1,0,Azalea Trail Nursing and Rehabilitation Center,32.64689,-95.69144,Van Zandt
73,4,1,4,3,5,2,4,3,1,1,2,1,Azle Manor Health Care and Rehabilitation,32.900040000000004,-97.56544,Tarrant
74,0,0,1,1,0,2,0,0,0,0,0,0,Balch Springs Health and Rehabilitation,32.71894,-96.61839,Dallas
75,0,1,0,1,0,0,0,1,0,1,1,1,Ballinger Healthcare and Rehabilitation Center,31.7387,-99.93626,Runnels
77,1,0,1,0,1,0,2,1,2,2,1,0,Bandera Nursing and Rehabilitation Center,29.70959,-99.09413,Bandera
78,1,0,0,0,0,0,0,0,1,0,2,0,Bangs Nursing and Rehabilitation Center,31.701190000000004,-99.15992,Brown
80,8,4,2,4,5,4,3,6,3,3,1,3,Bastrop Lost Pines Nursing and Rehabilitation Center,30.12383,-97.3284,Bastrop
81,1,0,2,1,0,3,3,2,3,2,0,2,Bastrop Nursing Center,30.12383,-97.3284,Bastrop
82,4,1,3,1,1,1,1,3,0,3,3,1,Bay Villa Healthcare Center,28.899590000000003,-95.88091,Matagorda
83,14,11,21,15,14,13,18,15,8,6,7,5,Baybrooke Village Care and Rehabilitation Center,33.17311,-96.69773,Collin
84,6,2,0,3,2,0,0,2,1,0,0,0,Baylor Scott And White Continuing Care Hospital,31.09622,-97.41034,Bell
