PID,ContractType,size,num_mins,average_time_spent
6,CT1,1,77.0,77.0
6,CT2,65,19221.0,295.7076923076923
8,CT1,25,6345.0,253.8
8,CT2,82,24114.0,294.0731707317073
9,CT1,61,11429.0,187.36065573770492
9,CT2,26,7530.0,289.61538461538464
10,CT2,4,1062.0,265.5
11,CT1,2,902.0,451.0
11,CT2,23,6783.0,294.9130434782609
12,CT1,13,2259.0,173.76923076923077
12,CT2,19,5259.0,276.7894736842105
13,CT1,1,485.0,485.0
13,CT2,25,7017.0,280.68
14,CT2,52,15852.0,304.84615384615387
15,CT2,37,10533.0,284.6756756756757
17,CT1,43,5759.0,133.93023255813952
17,CT2,72,19512.0,271.0
18,CT2,37,10863.0,293.5945945945946
19,CT2,33,9207.0,279.0
20,CT1,12,1910.0,159.16666666666666
20,CT2,13,4359.0,335.3076923076923
21,CT1,1,43.0,43.0
21,CT2,5,1377.0,275.4
22,CT1,87,17579.0,202.05747126436782
22,CT2,12,3648.0,304.0
23,CT1,18,1998.0,111.0
23,CT2,8,2058.0,257.25
25,CT1,56,9412.0,168.07142857142858
25,CT2,46,13170.0,286.30434782608694
27,CT1,6,1074.0,179.0
27,CT2,2,762.0,381.0
28,CT2,48,14064.0,293.0
29,CT1,4,1498.0,374.5
29,CT2,1,249.0,249.0
31,CT1,2,868.0,434.0
31,CT2,42,13296.0,316.57142857142856
33,CT2,7,2139.0,305.57142857142856
35,CT2,4,1194.0,298.5
37,CT2,2,498.0,249.0
38,CT1,5,1507.0,301.4
38,CT2,6,1626.0,271.0
41,CT2,7,2139.0,305.57142857142856
42,CT2,16,4314.0,269.625
43,CT2,6,1494.0,249.0
45,CT1,33,8491.0,257.3030303030303
45,CT2,67,18795.0,280.5223880597015
46,CT2,1,315.0,315.0
47,CT1,12,1332.0,111.0
47,CT2,7,2337.0,333.85714285714283
48,CT1,4,1634.0,408.5
48,CT2,1,381.0,381.0
49,CT1,6,1652.0,275.3333333333333
49,CT2,30,9846.0,328.2
50,CT1,5,963.0,192.6
52,CT1,2,596.0,298.0
52,CT2,44,12144.0,276.0
53,CT2,4,798.0,199.5
54,CT2,43,12885.0,299.6511627906977
55,CT1,13,3823.0,294.0769230769231
55,CT2,1,315.0,315.0
56,CT2,3,1539.0,513.0
59,CT2,11,3399.0,309.0
60,CT1,12,1536.0,128.0
60,CT2,7,2205.0,315.0
61,CT1,12,2964.0,247.0
61,CT2,14,3750.0,267.85714285714283
64,CT1,2,562.0,281.0
64,CT2,28,8754.0,312.64285714285717
65,CT1,1,145.0,145.0
65,CT2,25,7743.0,309.72
66,CT2,1,117.0,117.0
67,CT2,10,2886.0,288.6
68,CT1,6,938.0,156.33333333333334
68,CT2,28,8952.0,319.7142857142857
69,CT2,16,5304.0,331.5
70,CT2,8,2256.0,282.0
72,CT2,19,6183.0,325.42105263157896
73,CT1,6,2366.0,394.3333333333333
73,CT2,12,4044.0,337.0
74,CT2,4,1194.0,298.5
75,CT2,6,1758.0,293.0
77,CT1,8,1126.0,140.75
77,CT2,3,681.0,227.0
78,CT2,4,1062.0,265.5
80,CT1,6,1482.0,247.0
80,CT2,32,10014.0,312.9375
81,CT2,16,5106.0,319.125
82,CT2,21,5823.0,277.2857142857143
83,CT1,36,8518.0,236.61111111111111
83,CT2,84,24018.0,285.92857142857144
84,CT2,16,4182.0,261.375
90,CT1,18,5976.0,332.0
90,CT2,10,2490.0,249.0
