PID,patient_number_year,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,ProviderName,lat,lng,county_name,num_mins,num_hours,num_weeks,num_CC
6,66,11,5,7,6,4,3,3,5,6,5,3,11,Accel at College Station,30.56255,-96.27564,Brazos,19298.0,321.6333333333333,6.18525641025641,0.15463141025641025
8,107,20,12,14,12,16,17,15,8,6,6,4,7,Accel at Willow Bend,33.0355,-96.81000999999999,Collin,30459.0,507.65,9.7625,0.2440625
9,87,10,10,15,12,11,11,12,7,10,6,10,6,Adora Midtown Park,32.87767,-96.74979,Dallas,18959.0,315.98333333333335,6.076602564102564,0.1519150641025641
10,4,2,0,1,0,1,0,0,0,0,0,0,0,Advance Healthcare Solutions,33.85238,-98.54057,Wichita,1062.0,17.7,0.3403846153846154,0.008509615384615385
11,25,4,6,5,6,3,4,1,1,0,0,0,0,Advanced Health and Rehabilitation Center of Garland,32.85707,-96.57941,Dallas,7685.0,128.08333333333334,2.463141025641026,0.06157852564102565
12,32,3,3,5,4,3,2,4,5,2,2,2,2,Advanced Rehab and Healthcare,29.55554,-98.36174,Bexar,7518.0,125.3,2.4096153846153845,0.06024038461538461
13,26,4,7,1,4,1,2,2,2,0,1,0,4,Advanced Rehab and Healthcare of Athens,32.09642,-95.9083,Henderson,7502.0,125.03333333333332,2.4044871794871794,0.060112179487179486
14,52,3,8,9,5,4,9,4,5,1,2,4,3,Advanced Rehab of Wichita Falls,33.85238,-98.54057,Wichita,15852.0,264.2,5.080769230769231,0.12701923076923075
15,37,1,1,3,3,4,4,1,3,6,5,3,4,Advanced Rehabilitation and Healthcare of Bowie,33.51993,-97.95469,Montague,10533.0,175.55,3.3759615384615387,0.08439903846153847
17,115,14,14,12,7,8,15,11,13,7,10,6,7,Adventhealth Care Center Burleson,32.52605,-97.30317,Johnson,25271.0,421.1833333333333,8.099679487179486,0.2024919871794872
18,37,1,0,3,3,6,6,5,6,4,5,2,0,Afton Oaks Healthcare And Rehabilitation Center,29.68612000000001,-95.30343,Harris,10863.0,181.05,3.481730769230769,0.08704326923076924
19,33,2,3,1,5,2,1,4,3,3,1,3,5,Alameda Oaks Nursing Center,27.76805,-97.39899,Nueces,9207.0,153.45,2.9509615384615384,0.07377403846153846
20,25,2,1,1,3,2,3,4,0,4,6,1,3,Alamo Heights Health and Rehabilitation Center,29.48906,-98.45671,Bexar,6269.0,104.48333333333332,2.0092948717948715,0.0502323717948718
21,6,0,1,0,1,0,0,0,2,1,0,1,0,Alfredo Gonzalez Texas State Veterans Home,26.16531,-98.24764,Hidalgo,1420.0,23.66666666666667,0.4551282051282052,0.01137820512820513
22,99,9,7,9,9,12,12,12,14,11,10,11,10,ALLEGIANT WELLNESS AND REHAB,32.577020000000005,-97.41283,Tarrant,21227.0,353.78333333333336,6.803525641025642,0.17008814102564104
23,26,4,4,2,2,1,4,1,2,1,2,1,2,Alpine Terrace,30.03422,-99.15819,Kerr,4056.0,67.6,1.2999999999999998,0.032499999999999994
